id,category,requirement,source,v38_evidence,bucket,subtype,severity,remaining_action,blocked_by,prior_v37_2_status
BR-01,Brand,Use Say No to Plastic as the movement/site identity.,"Transcript 252-255, 348-354; Register 1.1","Header/footer, most metadata, policies, community, guides, and emails use Say No to Plastic.",1 — Done and proven,Source/structure proven,High,None beyond regression protection.,None,Substantially aligned
BR-02,Brand,Preserve Homo Plasticus as the book/product identity.,Register 1.2,"Book page, checkout, book schema, cover, product data, recovery and receipts use Homo Plasticus.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
BR-03,Brand,"Use Elie R. Haddad, MD as author.",Register 1.3,"Book product data and pages use Elie R. Haddad, MD.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
BR-04,Brand,Keep Dr. Rudolph Eberwein credit limited to the published book context.,Transcript 421-424; Register 1.3,v38 removed the standalone collaborator profile; collaborator credit remains in the published book cover/byline/schema only.,1 — Done and proven,Source/structure proven,Medium,None.,None,Partial
BR-05,Brand,"Create a distinctive, professional Say No to Plastic signature wordmark—not groovy—with the movement mark itself in the established gold family while surrounding navigation/copy can remain white/ivory; provide a reusable kit for site, social, email, print, and future merchandise.","Transcript 254-266, 350-357; Register 1.4-1.5; Blueprint Ch.1 typography/color system","v39.1 included horizontal/compact/monochrome candidates. After direct local review found the live stacked/slash header treatment awkward, v40 replaces it with a calmer horizontal Say No + To Plastic lockup while keeping gold/ivory movement identity. Final typeface/license and owner approval remain open.",3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,High,"Render the v40 header/footer lockup at all target widths, confirm it no longer looks accidental or crowded, then obtain Dr. Haddad/owner approval and final font/license decision before labeling the identity final.",Dr. Haddad / authorized owner,Approximation only
BR-06,Brand,"Use navy, ivory, restrained gold; professional, inviting, not boring.",Transcript 256-266; Register 1.5; Blueprint Ch.1,"v39.1 defines the exact blueprint token values (#09121F, #202020, #F5F1E8, #B4823A, #C79A55) in the active design layer and defines an Inter + Cormorant/DM Serif-ready typography stack with system fallbacks. Older legacy selectors still contain close predecessor values, so real rendered review is required to prove the final visual system is coherent rather than mixed.",2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,"Render every major route and verify the active navy/ivory/gold and type hierarchy feels coherent, professional, and inviting; identify and remove any visible legacy-style drift before approval.",None,Partial
BR-07,Brand,"Titles, navigation identity, conversion actions, and exposure-section copy must have strong readable visual scale; Dr. Haddad specifically said titles/Get the Book and the exposure text felt too small.","Transcript 93-96, 256-266; Register 1.5; Blueprint Ch.1 typography tokens","v40 responds to the local review with a cleaner header lockup, reduced hero density, 16px exposure body copy, and a rebalanced action bridge. Perceived scale still needs rendered proof across all target widths.",2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,"Verify v40 title, wordmark, Get the Book CTA, exposure labels/body, action bridge, and footer/legal text at every target viewport and 200% zoom; correct any undersized or oversized treatment.",None,Substantially aligned
BR-08,Brand,Use saynotoplastic.com as final domain identity.,"Transcript 252-255, 506-512; Register 10 Domain",Source defaults now use https://saynotoplastic.com; legacy homoplasticus.com remains only as the WooCommerce fallback. DNS/domain connection is not yet proven.,3 — Blocked on owner/provider/source input,External account/provider/domain proof required,Blocker,Connect and verify the real domain/canonical redirects before launch.,External account / provider / domain,Contradicted
BR-09,Brand,Separate public contact/sender identity from the old Homo Plasticus address.,"Transcript 188-194, 461-468; Register 8.2","Source defaults now use support@saynotoplastic.com and separate movement identity, but the actual public inbox/sender has not been owner/provider verified.",3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,High,Owner chooses/approves the public support and sender identities; verify delivery on the domain.,Dr. Haddad / authorized owner,Partial
BR-10,Brand,"Purpose: educate, sell ebook, collect audience, later disclosed affiliate commerce.",Register 1.6,"The site has distinct first-party analytics events for education/resource engagement, book view/checkout/purchase, signup/contact, and affiliate outbound; the underlying purposes are structurally separable. Production analytics-provider proof is tracked separately in OP-10.",1 — Done and proven,Source/structure proven,Medium,None beyond regression protection; production analytics-provider verification remains OP-10.,None,Substantially aligned
