id,category,requirement,source,evidence,rendered_evidence,status,severity,correction,dependency
BR-01,Brand,Use Say No to Plastic as the movement/site identity.,"Transcript 252-255, 348-354; Register 1.1","Header/footer, most metadata, policies, community, guides, and emails use Say No to Plastic.",Not independently rendered in this audit,Substantially aligned,High,Replace remaining Homo Plasticus movement-level strings and domain assumptions; rerun identity audit.,None
BR-02,Brand,Preserve Homo Plasticus as the book/product identity.,Register 1.2,"Book page, checkout, book schema, cover, product data, recovery and receipts use Homo Plasticus.",Not independently rendered in this audit,Exact match,Low,No change.,None
BR-03,Brand,"Use Elie R. Haddad, MD as author.",Register 1.3,"Book product data and pages use Elie R. Haddad, MD.",Not independently rendered in this audit,Exact match,Low,No change.,None
BR-04,Brand,Keep Dr. Rudolph Eberwein credit limited to the published book context.,Transcript 421-424; Register 1.3,"Credit appears on book cover, book hero, homepage book-related byline, guide book CTAs, schema, and a dedicated collaborator section. The dedicated section overemphasizes him beyond the minimum published-book credit.",Not independently rendered in this audit,Partial,Medium,Keep credit on book cover/byline/schema/receipt; remove or reduce the standalone collaborator section unless Dr. Haddad explicitly approves it.,None
BR-05,Brand,"Create a memorable, professional, gold Say No to Plastic signature wordmark and kit.",Transcript 350-357; Register 1.4,"Wordmark is live text using Palatino/Georgia fallbacks; no horizontal/compact/monochrome kit, clear-space rules, or font-license record exists.",Not independently rendered in this audit,Approximation only,High,Design and document a real wordmark system; choose licensed type or custom lettering; add assets and usage rules.,None
BR-06,Brand,"Use navy, ivory, restrained gold; professional, inviting, not boring.",Transcript 256-266; Register 1.5; Blueprint Ch.1,CSS uses close navy/ivory/gold values and large editorial headings. Exact blueprint token values and intended Inter + Cormorant/DM Serif system are not used.,Not independently rendered in this audit,Partial,Medium,Reconcile exact tokens and typography after rendered review; do not introduce a second system.,None
BR-07,Brand,Titles and conversion actions need stronger visual scale.,Transcript 262-266; Register 1.5,Source uses large clamp-based headings and gold/navy CTAs.,Not independently rendered in this audit,Substantially aligned,Medium,Verify at required viewports and correct any undersized labels/CTAs.,None
BR-08,Brand,Use saynotoplastic.com as final domain identity.,"Transcript 252-255, 506-512; Register 10 Domain","SITE_URL, metadataBase, schema IDs, canonical absolute URLs, and author URLs are hardcoded to homoplasticus.com.",Not independently rendered in this audit,Contradicted,Blocker,"Make canonical site URL environment-configurable with saynotoplastic.com as production target; update schema, sitemap, email URLs, and redirects.",External provider
BR-09,Brand,Separate public contact/sender identity from the old Homo Plasticus address.,"Transcript 188-194, 461-468; Register 8.2",SUPPORT_EMAIL is hardcoded to wearehomoplasticus@gmail.com and displayed publicly.,Not independently rendered in this audit,Partial,High,Use environment-configured Say No to Plastic support/sender addresses; preserve private personal email separation.,Dr. Haddad
BR-10,Brand,"Purpose: educate, sell ebook, collect audience, later disclosed affiliate commerce.",Register 1.6,All four systems exist in source; affiliate catalog is fail-closed.,Not independently rendered in this audit,Substantially aligned,Medium,Validate conversion analytics and provider operations in non-production.,External provider
IA-01,Information architecture,Explicit Home navigation and logo returns Home.,Transcript 119-126; Register 2 Home,Desktop/mobile nav include Home and wordmark links to /.,Not independently rendered in this audit,Exact match,Low,No change.,None
IA-02,Information architecture,Science is the evidence deep-dive and may repeat anatomy findings.,Transcript 309-344; Register 2 Science,Science page repeats findings with direct sources after homepage anatomy.,Not independently rendered in this audit,Exact match,Low,No change.,None
IA-03,Information architecture,Solutions is the action hub and Guides is the deeper library.,"Transcript 113-118, 198-213; Register 2 Solutions/Guides",Header labels Solutions and Guides; /solutions links to /resources and Quick Action Card.,Not independently rendered in this audit,Exact match,Low,No change.,None
IA-04,Information architecture,Dedicated book page.,Transcript 145-153; Register 2 Book,"/homo-plasticus exists with cover, price, CTA, FAQ, support.",Not independently rendered in this audit,Exact match,Low,No change.,None
IA-05,Information architecture,Dedicated Dr. Haddad/About page.,Transcript 123-143; Register 2 About,/about-dr-elie-haddad exists and is in navigation.,Not independently rendered in this audit,Exact match,Low,No change.,None
